"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,salary
"Sandoval, Patrick",663776,2023,26,28,144.2,652,567,145,103,29,1,12,128,74,19.6,11.3,0.256,0.374,0.344,0.718,0.261,0.403,0.318,0.333,0.351,0.142,87.6,9.4,38,7,2750000
"Scherzer, Max",453286,2022,37,23,145.1,565,523,108,75,20,0,13,173,24,30.6,4.2,0.207,0.319,0.254,0.573,0.202,0.339,0.254,0.265,0.253,0.137,87.8,21.3,32.2,8.4,43333333
"Scherzer, Max",453286,2023,38,27,152.2,621,570,126,76,22,0,28,174,45,28,7.2,0.221,0.407,0.282,0.689,0.207,0.375,0.298,0.281,0.269,0.168,88.5,20.2,32.2,8.5,43333333
"Schmidt, Clarke",657376,2023,27,33,159,694,630,169,103,41,1,24,149,46,21.5,6.6,0.268,0.451,0.326,0.777,0.256,0.418,0.334,0.32,0.316,0.162,89.2,13.8,31.1,7.6,740475
"Sears, JP",676664,2023,27,32,172.1,735,662,165,94,33,4,34,161,53,21.9,7.2,0.249,0.465,0.319,0.784,0.245,0.448,0.335,0.33,0.316,0.203,88.6,22.6,32.7,11.1,720000
"Senga, Kodai",673540,2023,30,29,166.1,694,606,126,88,21,0,17,202,77,29.1,11.1,0.208,0.327,0.301,0.628,0.225,0.365,0.282,0.304,0.316,0.14,89,12.8,31.5,6.8,15000000
"Singer, Brady",663903,2022,25,27,153.1,621,569,140,102,19,1,18,150,35,24.2,5.6,0.246,0.378,0.301,0.679,0.247,0.397,0.3,0.309,0.304,0.15,89.3,8.6,33.2,8.2,726250
"Singer, Brady",663903,2023,26,29,159.2,702,634,182,113,44,5,20,133,49,18.9,7,0.287,0.467,0.341,0.808,0.276,0.452,0.346,0.34,0.334,0.176,91,9,34.8,7.8,2950000
"Smyly, Drew",592767,2023,34,41,142.1,626,554,147,83,36,2,26,141,56,22.5,8.9,0.265,0.478,0.335,0.813,0.241,0.401,0.348,0.313,0.315,0.16,87.6,19.2,35.9,7.3,10000000
"Snell, Blake",605483,2022,29,24,128,535,476,103,67,23,2,11,171,51,32,9.5,0.216,0.342,0.292,0.634,0.207,0.337,0.282,0.279,0.286,0.13,90.1,17.1,39.2,7.4,13100000
"Snell, Blake",605483,2023,30,32,180,742,636,115,78,22,0,15,234,99,31.5,13.3,0.181,0.286,0.293,0.579,0.208,0.35,0.266,0.3,0.318,0.143,87.2,10.6,37,7.4,16600000
"Springs, Jeffrey",605488,2022,29,33,135.1,549,513,114,78,19,3,14,144,31,26.2,5.6,0.222,0.353,0.267,0.62,0.231,0.364,0.272,0.282,0.276,0.134,87.5,14.9,34,5.9,947500
"Steele, Justin",657006,2022,26,24,119,512,454,111,85,17,1,8,126,50,24.6,9.8,0.244,0.339,0.321,0.66,0.237,0.336,0.296,0.295,0.316,0.099,87.1,7.5,31,3.9,705000
"Steele, Justin",657006,2023,27,30,173.1,716,666,167,117,34,2,14,176,36,24.6,5,0.251,0.371,0.295,0.666,0.25,0.365,0.291,0.29,0.295,0.116,87.8,9.3,33.4,5.4,740000
"Strider, Spencer",675911,2022,23,31,131.2,528,478,86,61,17,1,7,202,45,38.3,8.5,0.18,0.264,0.254,0.518,0.179,0.279,0.235,0.242,0.254,0.1,88,14.1,32.7,6.1,710000
"Strider, Spencer",675911,2023,24,32,186.2,763,696,146,92,29,3,22,281,58,36.8,7.6,0.21,0.355,0.279,0.634,0.205,0.345,0.279,0.273,0.275,0.14,88.5,17,40.2,8.2,1000000
"Stripling, Ross",548389,2022,32,32,134.1,536,511,117,77,28,0,12,111,20,20.7,3.7,0.229,0.354,0.259,0.613,0.251,0.395,0.268,0.293,0.281,0.144,88.9,12.2,34.7,9.2,3790000
"Stroman, Marcus",573186,2022,31,25,138.2,569,525,123,81,25,1,16,119,36,20.9,6.3,0.234,0.377,0.287,0.664,0.254,0.389,0.291,0.308,0.306,0.136,89,7,32,6.6,25000000
"Stroman, Marcus",573186,2023,32,27,136.2,575,519,120,84,27,0,9,119,52,20.7,9,0.231,0.335,0.304,0.639,0.265,0.387,0.285,0.318,0.335,0.122,90.3,3,30.7,5,25000000
"Suárez, Ranger",624133,2022,26,29,155.1,662,598,149,93,39,2,15,129,58,19.5,8.8,0.249,0.396,0.317,0.713,0.241,0.368,0.314,0.302,0.311,0.127,87.5,5.1,27.9,6.8,730000
"Suárez, Ranger",624133,2023,27,22,125,540,483,129,87,26,3,13,119,48,22,8.9,0.267,0.414,0.333,0.747,0.262,0.403,0.325,0.321,0.33,0.141,87.8,8.1,35.3,7.5,2950000
"Syndergaard, Noah",592789,2022,29,25,134.2,565,525,138,95,24,5,14,95,31,16.8,5.5,0.263,0.408,0.307,0.715,0.265,0.42,0.312,0.325,0.312,0.156,87.1,12.3,37.7,7.8,21000000
"Taillon, Jameson",592791,2022,30,32,177.1,728,684,168,97,42,3,26,151,32,20.7,4.4,0.246,0.43,0.283,0.713,0.26,0.432,0.308,0.317,0.297,0.172,88.5,14.5,34.5,8.3,5800000
"Taillon, Jameson",592791,2023,31,30,154.1,655,604,156,100,28,1,27,140,41,21.4,6.3,0.258,0.442,0.308,0.75,0.259,0.462,0.322,0.332,0.311,0.203,88.3,16.7,36.2,10.7,14000000
"Thompson, Zach",605507,2022,28,29,121.2,543,493,138,95,23,1,19,90,46,16.6,8.5,0.28,0.446,0.344,0.79,0.281,0.442,0.346,0.346,0.346,0.161,88.3,11.3,34.2,6.4,705000
"Urias, Julio",628711,2022,25,31,175,689,639,127,81,20,3,23,166,41,24.1,6,0.199,0.347,0.251,0.598,0.205,0.332,0.263,0.262,0.258,0.128,86.7,17.2,29.6,6.7,8000000
"Urquidy, José",664353,2022,27,29,164.1,681,630,154,91,33,1,29,134,38,19.7,5.6,0.244,0.438,0.292,0.73,0.256,0.449,0.316,0.329,0.306,0.193,89.7,17.2,34.7,9.4,748700
"Valdez, Framber",664285,2022,28,31,201.1,827,745,166,129,24,2,11,194,67,23.5,8.1,0.223,0.305,0.296,0.601,0.227,0.33,0.272,0.284,0.301,0.102,89.8,-3.6,24,5.8,3000000
"Valdez, Framber",664285,2023,29,31,198,808,728,166,107,37,3,19,200,57,24.8,7.1,0.228,0.365,0.29,0.655,0.253,0.41,0.287,0.32,0.317,0.157,91.5,4.2,30.9,8,6800000
"Verlander, Justin",434378,2022,39,28,175,666,625,116,88,15,1,12,185,29,27.8,4.4,0.186,0.27,0.227,0.497,0.207,0.331,0.222,0.255,0.248,0.124,87.8,16.9,32.5,6.3,25000000
"Verlander, Justin",434378,2023,40,27,162.1,669,615,139,89,30,2,18,144,45,21.5,6.7,0.226,0.369,0.283,0.652,0.229,0.391,0.284,0.295,0.287,0.163,90,18.9,30.5,8.2,43333333
"Wacha, Michael",608379,2022,30,23,127.1,515,476,111,67,22,4,18,104,31,20.2,6,0.233,0.41,0.283,0.693,0.254,0.446,0.301,0.329,0.306,0.192,88.2,12.8,35.4,9.6,7000000
"Wacha, Michael",608379,2023,31,24,134.1,553,505,113,65,32,1,15,124,43,22.4,7.8,0.224,0.38,0.288,0.668,0.25,0.421,0.291,0.318,0.312,0.171,88.1,18.5,38.6,7.3,8000000
"Wainwright, Adam",425794,2022,40,32,191.2,803,736,192,138,35,3,16,143,54,17.8,6.7,0.261,0.382,0.315,0.697,0.27,0.419,0.306,0.328,0.326,0.148,87.8,11,37.4,6.5,17500000
"Waldichuk, Ken",686610,2023,25,35,141,639,550,149,84,39,2,24,132,71,20.7,11.1,0.271,0.48,0.36,0.84,0.242,0.42,0.361,0.332,0.337,0.178,88.3,14.5,34.7,7.7,720000
"Walker, Taijuan",592836,2022,29,29,157.1,649,596,143,100,27,1,15,132,45,20.3,6.9,0.24,0.364,0.299,0.663,0.245,0.395,0.293,0.308,0.305,0.15,89.3,11.3,33.7,7.3,7000000
"Walker, Taijuan",592836,2023,30,31,172.2,733,650,155,96,35,4,20,138,71,18.8,9.7,0.238,0.397,0.32,0.717,0.248,0.405,0.313,0.322,0.329,0.157,89.1,11.1,33.1,6.8,18000000
"Weaver, Luke",596133,2023,29,29,123.2,563,515,155,83,40,3,29,109,40,19.4,7.1,0.301,0.559,0.353,0.912,0.286,0.494,0.385,0.357,0.34,0.209,89.3,15.4,40.2,9.8,720000
"Webb, Logan",657277,2022,25,32,192.1,787,726,174,122,38,3,11,163,49,20.7,6.2,0.24,0.346,0.293,0.639,0.247,0.364,0.283,0.295,0.301,0.116,88.9,3.1,29.3,5.5,730000
"Webb, Logan",657277,2023,26,33,216,850,811,201,143,34,4,20,194,31,22.8,3.6,0.248,0.374,0.28,0.654,0.255,0.395,0.283,0.295,0.287,0.14,90.7,0.6,28.4,6.9,4600000
"Wheeler, Zack",554430,2022,32,26,153,607,565,125,83,23,6,13,163,34,26.9,5.6,0.221,0.352,0.273,0.625,0.226,0.343,0.275,0.275,0.278,0.117,85.9,11.4,34,7.7,26000000
"Wheeler, Zack",554430,2023,33,32,192,787,734,168,111,35,2,20,212,39,26.9,5,0.229,0.364,0.274,0.638,0.23,0.351,0.277,0.277,0.277,0.122,86.9,14.2,35.1,5.1,24500000
"Williams, Trevor",592866,2023,31,30,144.1,658,593,178,110,32,2,34,111,52,16.9,7.9,0.3,0.533,0.358,0.891,0.281,0.501,0.377,0.36,0.342,0.22,88.3,15.9,36.9,10.2,6000000
"Wilson, Bryse",669060,2022,24,25,115.2,509,460,132,82,29,1,20,79,32,15.5,6.3,0.287,0.485,0.341,0.826,0.291,0.474,0.356,0.358,0.347,0.183,90.9,11.5,37.6,7.7,715000
"Wood, Alex",622072,2022,31,26,130.2,555,504,132,94,20,1,17,131,30,23.6,5.4,0.262,0.407,0.315,0.722,0.248,0.397,0.315,0.31,0.305,0.15,88.6,8.5,33.8,7.1,13500000
"Woodruff, Brandon",605540,2022,29,27,153.1,620,568,122,74,28,2,18,190,42,30.6,6.8,0.215,0.366,0.274,0.64,0.212,0.349,0.282,0.277,0.273,0.137,88.8,16.8,34.1,7.1,6800000
"Wright, Kyle",657140,2022,26,30,180.1,738,672,156,115,21,1,19,174,53,23.6,7.2,0.232,0.351,0.296,0.647,0.244,0.384,0.288,0.306,0.308,0.139,89,4.4,31.1,6.8,720000
