"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,salary
"Hill, Rich",448179,2022,42,26,124.1,526,484,125,77,27,6,15,109,37,20.7,7,0.258,0.432,0.316,0.748,0.24,0.411,0.325,0.313,0.3,0.171,88.2,14.9,31.6,8.2,5500000
"Hill, Rich",448179,2023,43,32,146.1,660,587,165,94,44,4,23,129,58,19.5,8.8,0.281,0.487,0.351,0.838,0.281,0.481,0.359,0.36,0.352,0.2,89.4,14.3,37.3,10.1,8000000
"Hudson, Dakota",641712,2022,27,27,139.2,596,517,141,107,24,1,9,78,61,13.1,10.2,0.273,0.375,0.356,0.731,0.276,0.409,0.326,0.343,0.361,0.133,89,6.3,31.7,6,0
"Irvin, Cole",608344,2022,28,30,181,741,693,174,113,33,3,25,128,36,17.3,4.9,0.251,0.416,0.293,0.709,0.258,0.451,0.306,0.324,0.301,0.192,89.4,15.5,36.1,9.6,705000
"Irvin, Jake",663623,2023,26,24,121,530,462,118,79,17,2,20,99,54,18.7,10.2,0.255,0.431,0.34,0.771,0.259,0.446,0.335,0.345,0.345,0.187,90.4,14.7,33.1,10.3,720000
"Javier, Cristian",664299,2022,25,30,148.2,585,524,89,53,18,1,17,194,52,33.2,8.9,0.17,0.305,0.252,0.557,0.168,0.286,0.251,0.244,0.25,0.118,88.4,25.4,31.2,7.2,749100
"Javier, Cristian",664299,2023,26,31,162,687,611,143,81,33,4,25,159,62,23.1,9,0.234,0.424,0.309,0.733,0.23,0.443,0.317,0.323,0.307,0.213,89.1,23.8,38.1,9.4,3400000
"Kaprielian, James",621076,2022,28,26,134,577,507,121,71,27,7,16,98,59,17,10.2,0.239,0.414,0.321,0.735,0.254,0.415,0.322,0.331,0.336,0.162,88.4,16.9,34.2,8,705000
"Keller, Brad",641745,2022,26,35,139.2,617,553,153,108,24,4,17,102,57,16.5,9.2,0.277,0.427,0.344,0.771,0.256,0.405,0.337,0.323,0.327,0.149,89.3,6.7,28.7,6.6,4825000
"Keller, Mitch",656605,2022,26,31,159,687,609,162,118,28,2,14,138,60,20.1,8.7,0.266,0.388,0.342,0.73,0.253,0.383,0.323,0.318,0.331,0.13,87.9,7.8,33.3,7.1,725000
"Keller, Mitch",656605,2023,27,32,194.1,825,752,187,122,38,2,25,210,55,25.5,6.7,0.249,0.404,0.308,0.712,0.251,0.404,0.31,0.315,0.313,0.153,87.7,10.3,36.5,8.6,2437500
"Kelly, Merrill",518876,2022,33,33,200.1,804,739,167,104,40,2,21,177,61,22,7.6,0.226,0.371,0.286,0.657,0.23,0.383,0.289,0.296,0.291,0.153,88.5,14,31.2,8.3,5250000
"Kelly, Merrill",518876,2023,34,30,177.2,721,645,143,90,30,3,20,187,68,25.9,9.4,0.222,0.371,0.299,0.67,0.244,0.389,0.294,0.313,0.32,0.145,89.6,11.8,35.1,7.8,8500000
"Kershaw, Clayton",477132,2023,35,24,131.2,523,479,100,62,19,0,19,137,40,26.2,7.6,0.209,0.367,0.273,0.64,0.232,0.393,0.28,0.3,0.295,0.161,89,11.8,34.7,9,20000000
"Kikuchi, Yusei",579328,2023,32,32,167.2,700,646,165,110,27,1,27,181,48,25.9,6.9,0.255,0.426,0.311,0.737,0.249,0.434,0.319,0.319,0.305,0.185,90.5,13.3,37.7,9,10000000
"Kirby, George",669923,2022,24,25,130,542,511,135,97,23,2,13,133,22,24.5,4.1,0.264,0.393,0.299,0.692,0.233,0.379,0.302,0.284,0.271,0.146,89.3,11.3,31.4,8.9,700000
"Kirby, George",669923,2023,25,31,190.2,757,727,179,122,28,7,22,172,19,22.7,2.5,0.246,0.395,0.27,0.665,0.262,0.425,0.284,0.305,0.286,0.163,89.2,12.4,32,7.5,758300
"Kluber, Corey",446372,2022,36,31,164,689,650,178,123,32,3,20,139,21,20.2,3,0.274,0.425,0.304,0.729,0.261,0.416,0.316,0.31,0.293,0.155,87.1,18.5,35.8,6.9,13000000
"Kopech, Michael",656629,2023,27,30,129.1,591,483,115,63,21,2,29,134,91,22.7,15.4,0.238,0.47,0.368,0.838,0.24,0.454,0.363,0.363,0.371,0.214,90.3,17.8,31.6,12.7,2050000
"Kremer, Dean",665152,2022,26,22,125.1,512,469,123,85,27,0,11,87,34,17,6.6,0.262,0.39,0.318,0.708,0.265,0.423,0.312,0.327,0.321,0.158,88.4,14.7,36.6,7.3,705000
"Kremer, Dean",665152,2023,27,32,172.2,735,673,171,117,26,1,27,157,55,21.4,7.5,0.254,0.416,0.314,0.73,0.27,0.457,0.317,0.339,0.329,0.188,89.7,12.7,36.9,8.9,731200
