"last_name, first_name",player_id,year,player_age,ab,hit,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,xobp,xiso,exit_velocity_avg,launch_angle_avg,salary
"Wacha, Michael",608379,2023,31,505,113,65,32,1,15,124,43,0.224,0.38,0.288,0.668,0.25,0.421,0.312,0.171,88.1,18.5,8000000
"Wainwright, Adam",425794,2022,40,736,192,138,35,3,16,143,54,0.261,0.382,0.315,0.697,0.27,0.419,0.326,0.148,87.8,11,17500000
"Waldichuk, Ken",686610,2023,25,550,149,84,39,2,24,132,71,0.271,0.48,0.36,0.84,0.242,0.42,0.337,0.178,88.3,14.5,720000
"Walker, Taijuan",592836,2022,29,596,143,100,27,1,15,132,45,0.24,0.364,0.299,0.663,0.245,0.395,0.305,0.15,89.3,11.3,7000000
"Walker, Taijuan",592836,2023,30,650,155,96,35,4,20,138,71,0.238,0.397,0.32,0.717,0.248,0.405,0.329,0.157,89.1,11.1,18000000
"Weaver, Luke",596133,2023,29,515,155,83,40,3,29,109,40,0.301,0.559,0.353,0.912,0.286,0.494,0.34,0.209,89.3,15.4,720000
"Webb, Logan",657277,2022,25,726,174,122,38,3,11,163,49,0.24,0.346,0.293,0.639,0.247,0.364,0.301,0.116,88.9,3.1,730000
"Webb, Logan",657277,2023,26,811,201,143,34,4,20,194,31,0.248,0.374,0.28,0.654,0.255,0.395,0.287,0.14,90.7,0.6,4600000
"Wheeler, Zack",554430,2022,32,565,125,83,23,6,13,163,34,0.221,0.352,0.273,0.625,0.226,0.343,0.278,0.117,85.9,11.4,26000000
"Wheeler, Zack",554430,2023,33,734,168,111,35,2,20,212,39,0.229,0.364,0.274,0.638,0.23,0.351,0.277,0.122,86.9,14.2,24500000
"Williams, Trevor",592866,2023,31,593,178,110,32,2,34,111,52,0.3,0.533,0.358,0.891,0.281,0.501,0.342,0.22,88.3,15.9,6000000
"Wilson, Bryse",669060,2022,24,460,132,82,29,1,20,79,32,0.287,0.485,0.341,0.826,0.291,0.474,0.347,0.183,90.9,11.5,715000
"Wood, Alex",622072,2022,31,504,132,94,20,1,17,131,30,0.262,0.407,0.315,0.722,0.248,0.397,0.305,0.15,88.6,8.5,13500000
"Woodruff, Brandon",605540,2022,29,568,122,74,28,2,18,190,42,0.215,0.366,0.274,0.64,0.212,0.349,0.273,0.137,88.8,16.8,6800000
"Wright, Kyle",657140,2022,26,672,156,115,21,1,19,174,53,0.232,0.351,0.296,0.647,0.244,0.384,0.308,0.139,89,4.4,720000
