"last_name, first_name",player_id,year,player_age,ab,hit,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,xobp,xiso,exit_velocity_avg,launch_angle_avg,salary
"García, Adolis",666969,2023,30,555,136,68,29,0,39,175,65,0.245,0.508,0.328,0.836,0.25,0.526,0.334,0.276,92.1,15.7,747760
"García, Adolis",666969,2022,29,605,151,85,34,5,27,183,40,0.25,0.456,0.3,0.756,0.244,0.447,0.296,0.204,92.1,13.2,714000
"Garcia, Maikel",672580,2023,23,464,126,98,20,4,4,115,38,0.272,0.358,0.323,0.681,0.274,0.393,0.33,0.119,91.8,6.1,720000
"Giménez, Andrés",665926,2023,24,557,140,93,27,5,15,112,32,0.251,0.399,0.314,0.713,0.245,0.367,0.309,0.122,84.8,13.1,1571429
"Giménez, Andrés",665926,2022,23,491,146,100,26,3,17,112,34,0.297,0.466,0.371,0.837,0.257,0.4,0.336,0.143,87.8,11.7,706600
"Goldschmidt, Paul",502671,2023,35,593,159,103,31,0,25,161,87,0.268,0.447,0.363,0.81,0.271,0.491,0.366,0.22,91.3,12.8,26000000
"Goldschmidt, Paul",502671,2022,34,561,178,102,41,0,35,141,79,0.317,0.578,0.404,0.982,0.261,0.482,0.357,0.221,90.8,15.7,26300000
"Grichuk, Randal",545341,2022,30,506,131,88,21,3,19,127,24,0.259,0.425,0.299,0.724,0.229,0.37,0.271,0.141,90,8.7,10333333
"Grisham, Trent",663757,2023,26,469,93,48,31,1,13,154,75,0.198,0.352,0.315,0.667,0.218,0.396,0.332,0.178,90.3,18.3,3175000
"Grisham, Trent",663757,2022,25,451,83,48,16,2,17,150,57,0.184,0.341,0.284,0.625,0.205,0.358,0.303,0.153,88.3,15.1,729300
"Guerrero Jr., Vladimir",665489,2023,24,602,159,103,30,0,26,100,67,0.264,0.444,0.345,0.789,0.299,0.503,0.378,0.204,92.1,10.5,14500000
"Guerrero Jr., Vladimir",665489,2022,23,638,175,108,35,0,32,116,58,0.274,0.48,0.339,0.819,0.281,0.464,0.345,0.183,92.8,4.3,7900000
"Gurriel Jr., Lourdes",666971,2023,29,551,144,83,35,2,24,103,33,0.261,0.463,0.309,0.772,0.264,0.439,0.313,0.175,89.7,10.6,5828571
"Gurriel, Yuli",493329,2022,38,545,132,84,40,0,8,73,30,0.242,0.36,0.288,0.648,0.24,0.319,0.286,0.079,88.2,14.6,8000000
"Happ, Ian",664023,2023,28,580,144,84,35,4,21,153,99,0.248,0.431,0.36,0.791,0.254,0.427,0.368,0.173,89.9,13,10850000
"Happ, Ian",664023,2022,27,573,155,94,42,2,17,149,58,0.271,0.44,0.342,0.782,0.239,0.379,0.315,0.14,89.7,10.9,6850000
"Harper, Bryce",547180,2023,30,457,134,83,29,1,21,119,80,0.293,0.499,0.401,0.9,0.29,0.53,0.403,0.24,91.8,9.1,27538462
"Harris II, Michael",671739,2023,22,505,148,94,33,3,18,101,25,0.293,0.477,0.331,0.808,0.304,0.49,0.342,0.186,90.9,7.6,5000000
"Hayes, Ke'Bryan",663647,2023,26,494,134,81,31,7,15,104,28,0.271,0.453,0.309,0.762,0.273,0.44,0.313,0.167,92.2,13.2,10000000
"Hayes, Ke'Bryan",663647,2022,25,505,123,89,24,3,7,122,48,0.244,0.345,0.314,0.659,0.25,0.354,0.321,0.105,91,5.2,10000000
"Hays, Austin",669720,2023,27,520,143,89,36,2,16,141,38,0.275,0.444,0.325,0.769,0.242,0.42,0.296,0.178,89.4,10.4,3200000
"Hays, Austin",669720,2022,26,535,134,81,35,2,16,114,34,0.25,0.413,0.306,0.719,0.24,0.372,0.298,0.132,87.7,11.3,713000
"Henderson, Gunnar",683002,2023,22,560,143,77,29,9,28,159,56,0.255,0.489,0.325,0.814,0.261,0.472,0.331,0.212,92,11.4,723200
"Hernández, César",514917,2022,32,560,139,106,28,4,1,114,45,0.248,0.318,0.311,0.629,0.248,0.329,0.312,0.081,84.8,9.3,4500000
"Hernández, Enrique",571771,2023,31,465,110,76,23,0,11,97,34,0.237,0.357,0.289,0.646,0.224,0.337,0.28,0.113,87.8,17,10000000
"Hernández, Teoscar",606192,2023,30,625,161,104,29,2,26,211,38,0.258,0.435,0.305,0.74,0.258,0.476,0.308,0.218,91.3,12.3,14000000
"Hernández, Teoscar",606192,2022,29,499,133,72,35,1,25,152,34,0.267,0.491,0.316,0.807,0.265,0.501,0.314,0.236,92.6,11.6,10650000
"Hoerner, Nico",663538,2023,26,619,175,135,27,4,9,83,49,0.283,0.383,0.346,0.729,0.273,0.356,0.339,0.083,86.6,10.5,2525000
"Hoerner, Nico",663538,2022,25,481,135,98,22,5,10,57,28,0.281,0.41,0.327,0.737,0.27,0.367,0.318,0.097,87.2,10.6,720000
"Hoskins, Rhys",656555,2022,29,589,145,80,33,2,30,169,72,0.246,0.462,0.332,0.794,0.239,0.445,0.327,0.207,90.1,18.1,7700000
"India, Jonathan",663697,2023,26,454,111,71,23,0,17,109,52,0.244,0.407,0.338,0.745,0.252,0.424,0.348,0.172,89.5,15.2,760000
"Judge, Aaron",592450,2022,30,570,177,87,28,0,62,175,111,0.311,0.686,0.425,1.111,0.305,0.706,0.422,0.401,95.9,15,19000000
"Jung, Josh",673962,2023,25,478,127,78,25,1,23,151,30,0.266,0.467,0.315,0.782,0.26,0.482,0.309,0.222,91.8,15,721485
"Kemp, Tony",643393,2022,30,497,117,84,24,2,7,69,45,0.235,0.334,0.307,0.641,0.219,0.291,0.294,0.072,84.4,15,2250000
"Kim, Ha-Seong",673490,2023,27,538,140,100,23,0,17,124,75,0.26,0.398,0.351,0.749,0.245,0.359,0.339,0.114,86.2,13.6,7000000
"Kim, Ha-Seong",673490,2022,26,517,130,87,29,3,11,100,51,0.251,0.383,0.325,0.708,0.25,0.368,0.324,0.119,86.7,16.1,7000000
"Kiner-Falefa, Isiah",643396,2022,27,483,126,102,20,0,4,72,35,0.261,0.327,0.314,0.641,0.262,0.333,0.317,0.071,86.2,4.3,4700000
"Kirk, Alejandro",672386,2022,23,470,134,101,19,0,14,58,63,0.285,0.415,0.372,0.787,0.278,0.431,0.367,0.153,90.5,8.1,714000
"Kwan, Steven",680757,2023,25,638,171,123,36,7,5,75,70,0.268,0.37,0.34,0.71,0.282,0.358,0.353,0.076,86,10.7,727300
"Kwan, Steven",680757,2022,24,563,168,130,25,7,6,60,62,0.298,0.4,0.373,0.773,0.268,0.341,0.348,0.073,85.1,11.8,700000
"LeMahieu, DJ",518934,2023,34,497,121,81,22,3,15,125,60,0.243,0.39,0.327,0.717,0.255,0.393,0.339,0.138,89.6,3.8,0
"LeMahieu, DJ",518934,2022,33,467,122,92,18,0,12,71,67,0.261,0.377,0.357,0.734,0.274,0.403,0.369,0.13,89.2,3,15000000
"Lindor, Francisco",596019,2023,29,602,153,87,33,2,31,137,66,0.254,0.47,0.336,0.806,0.255,0.457,0.34,0.202,91.2,19.2,34100000
"Lindor, Francisco",596019,2022,28,630,170,114,25,5,26,133,59,0.27,0.449,0.339,0.788,0.254,0.427,0.326,0.173,89.3,13.8,34100000
"Lowe, Nathaniel",663993,2023,27,623,163,105,38,3,17,165,93,0.262,0.414,0.36,0.774,0.263,0.406,0.362,0.143,89.8,7.2,0
"Lowe, Nathaniel",663993,2022,26,593,179,123,26,3,27,147,48,0.302,0.492,0.358,0.85,0.275,0.459,0.333,0.184,90.2,8.2,716000
"Machado, Manny",592518,2023,30,543,140,89,21,0,30,109,50,0.258,0.462,0.319,0.781,0.258,0.461,0.321,0.204,91,15,17090909
"Machado, Manny",592518,2022,29,578,172,102,37,1,32,133,63,0.298,0.531,0.366,0.897,0.267,0.45,0.34,0.183,91.5,16,32000000
"Mancini III, Trey",641820,2022,30,519,124,82,23,1,18,135,53,0.239,0.391,0.319,0.71,0.245,0.41,0.328,0.165,89.5,12.7,7500000
"Marte, Ketel",606466,2023,29,569,157,97,26,9,25,109,71,0.276,0.485,0.358,0.843,0.266,0.427,0.353,0.161,91.1,10.7,11600000
"Marte, Ketel",606466,2022,28,492,118,62,42,2,12,101,55,0.24,0.407,0.321,0.728,0.251,0.377,0.333,0.126,90.1,13.5,8400000
"Marte, Starling",516782,2022,33,466,136,91,24,5,16,97,26,0.292,0.468,0.347,0.815,0.276,0.428,0.332,0.153,86.8,7.5,15750000
"Martinez, J.D.",502110,2022,34,533,146,86,43,1,16,145,52,0.274,0.448,0.341,0.789,0.26,0.471,0.33,0.211,89.1,14.1,19350000
"Mateo, Jorge",622761,2022,27,494,109,64,25,7,13,147,27,0.221,0.379,0.267,0.646,0.222,0.344,0.269,0.122,86.8,14.8,709500
"McCutchen, Andrew",457705,2022,35,515,122,80,25,0,17,124,57,0.237,0.384,0.316,0.7,0.252,0.406,0.329,0.155,89.1,13.2,8500000
"McKinstry, Zach",656716,2023,28,464,107,73,21,4,9,113,44,0.231,0.351,0.302,0.653,0.247,0.395,0.318,0.148,87.2,17.8,734500
"McMahon, Ryan",641857,2023,28,555,133,76,31,3,23,198,68,0.24,0.431,0.322,0.753,0.245,0.445,0.328,0.201,90.8,9.7,9000000
"McMahon, Ryan",641857,2022,27,529,130,84,23,3,20,158,60,0.246,0.414,0.327,0.741,0.247,0.423,0.329,0.175,91.7,10.8,5000000
"McNeil, Jeff",643446,2023,31,585,158,119,25,4,10,65,39,0.27,0.378,0.333,0.711,0.251,0.34,0.316,0.09,86,14.4,6250000
"McNeil, Jeff",643446,2022,30,533,174,125,39,1,9,61,40,0.326,0.454,0.382,0.836,0.28,0.389,0.341,0.109,86.9,12.8,3000000
"Melendez Jr., MJ",669004,2023,24,533,125,75,29,5,16,170,62,0.235,0.398,0.316,0.714,0.235,0.432,0.318,0.197,93.2,16.9,726500
"Melendez Jr., MJ",669004,2022,23,460,100,58,21,3,18,131,66,0.217,0.393,0.313,0.706,0.237,0.41,0.334,0.173,90.7,15.1,700000
"Meneses, Joey",608841,2023,31,611,168,118,36,1,13,130,38,0.275,0.401,0.321,0.722,0.247,0.361,0.295,0.115,89.4,9.4,723300
"Merrifield, Whit",593160,2023,34,547,149,111,27,0,11,101,36,0.272,0.382,0.318,0.7,0.242,0.335,0.291,0.093,85.1,14.4,6750000
"Merrifield, Whit",593160,2022,33,504,126,86,28,1,11,85,38,0.25,0.375,0.298,0.673,0.24,0.356,0.292,0.116,87.1,15.1,7000000
"Mountcastle, Ryan",663624,2022,25,555,139,88,28,1,22,154,43,0.25,0.423,0.305,0.728,0.277,0.509,0.332,0.232,91.3,15.9,711000
"Mullins II, Cedric",656775,2022,27,608,157,105,32,4,16,126,47,0.258,0.403,0.318,0.721,0.232,0.349,0.297,0.117,88.8,17.4,716500
"Muncy, Max",571970,2023,32,482,102,48,17,1,36,153,85,0.212,0.475,0.333,0.808,0.235,0.504,0.353,0.269,91.2,21.7,13500000
"Muncy, Max",571970,2022,31,464,91,47,22,1,21,141,90,0.196,0.384,0.329,0.713,0.208,0.417,0.342,0.209,90.3,20.9,13000000
"Murphy, Sean",669221,2022,27,537,134,77,37,2,18,124,56,0.25,0.426,0.332,0.758,0.255,0.439,0.34,0.184,88.7,11.5,725000
"Nimmo, Brandon",607043,2023,30,592,162,102,30,6,24,146,74,0.274,0.466,0.363,0.829,0.261,0.453,0.353,0.193,91.8,12.2,18500000
"Nimmo, Brandon",607043,2022,29,580,159,106,30,7,16,116,71,0.274,0.433,0.367,0.8,0.256,0.403,0.353,0.147,89.4,6.1,7000000
"Nootbaar, Lars",663457,2023,25,426,111,73,23,1,14,99,72,0.261,0.418,0.367,0.785,0.265,0.436,0.372,0.171,89.1,7.2,732400
"Ohtani, Shohei",660271,2023,28,497,151,73,26,8,44,143,91,0.304,0.654,0.412,1.066,0.295,0.638,0.406,0.343,94.4,13.2,30000000
"Ohtani, Shohei",660271,2022,27,586,160,90,30,6,34,161,72,0.273,0.519,0.356,0.875,0.275,0.549,0.358,0.274,92.9,12.1,5500000
"Olson, Matt",621566,2023,29,608,172,88,27,3,54,167,104,0.283,0.604,0.389,0.993,0.264,0.558,0.374,0.294,93.7,16.1,21000000
"Olson, Matt",621566,2022,28,616,148,70,44,0,34,170,75,0.24,0.477,0.325,0.802,0.248,0.467,0.334,0.219,92.9,16.1,15000000
"Outman, James",681546,2023,26,483,120,78,16,3,23,181,68,0.248,0.437,0.353,0.79,0.228,0.396,0.336,0.167,87.9,15.7,722500
"Ozuna, Marcell",542303,2023,32,530,145,75,29,1,40,134,57,0.274,0.558,0.346,0.904,0.283,0.581,0.356,0.298,91.8,15.6,16000000
"Ozuna, Marcell",542303,2022,31,470,106,64,19,0,23,122,31,0.226,0.413,0.274,0.687,0.256,0.478,0.303,0.222,89.4,16.5,16000000
"Paredes, Isaac",670623,2023,24,492,123,68,24,0,31,104,58,0.25,0.488,0.352,0.84,0.23,0.369,0.335,0.139,86.9,22.2,735000
"Peña, Jeremy",665161,2023,25,577,152,107,32,3,10,129,43,0.263,0.381,0.324,0.705,0.259,0.37,0.321,0.11,88,5.5,754900
"Peña, Jeremy",665161,2022,24,521,132,88,20,2,22,135,22,0.253,0.426,0.289,0.715,0.248,0.397,0.285,0.149,88.1,8.7,700000
"Perez, Salvador",521692,2023,33,538,137,93,21,0,23,135,19,0.255,0.422,0.292,0.714,0.268,0.463,0.309,0.194,90.1,15.6,20000000
"Pham, Tommy",502054,2022,34,554,131,90,23,1,17,167,56,0.236,0.374,0.312,0.686,0.238,0.383,0.315,0.145,92.2,7.7,6000000
"Pollock, AJ",572041,2022,34,489,120,79,26,1,14,98,32,0.245,0.389,0.292,0.681,0.258,0.419,0.305,0.161,88.8,11.6,14500000
"Profar, Jurickson",595777,2023,30,459,111,73,27,2,9,90,50,0.242,0.368,0.321,0.689,0.247,0.349,0.329,0.102,86.5,14.8,720000
"Profar, Jurickson",595777,2022,29,575,140,87,36,2,15,103,73,0.243,0.391,0.331,0.722,0.251,0.359,0.34,0.108,87.5,12.9,7333333
"Raleigh, Cal",663728,2023,26,513,119,65,23,1,30,158,54,0.232,0.456,0.306,0.762,0.233,0.466,0.307,0.233,89.5,20.3,758300
"Ramírez, José",608070,2023,30,611,172,107,36,5,24,73,73,0.282,0.475,0.356,0.831,0.299,0.48,0.373,0.182,90,18,14000000
"Ramírez, José",608070,2022,29,601,168,90,44,5,29,82,69,0.28,0.514,0.355,0.869,0.255,0.408,0.337,0.153,87.7,20.7,22000000
"Realmuto, J.T.",592663,2023,32,489,123,70,28,5,20,138,35,0.252,0.452,0.31,0.762,0.254,0.462,0.315,0.208,89.8,16.7,23875000
"Realmuto, J.T.",592663,2022,31,504,139,86,26,5,22,119,41,0.276,0.478,0.342,0.82,0.275,0.463,0.342,0.188,90.3,13.1,23875000
"Renfroe, Hunter",592669,2023,31,498,116,65,31,0,20,125,44,0.233,0.416,0.297,0.713,0.225,0.366,0.291,0.141,88.3,15,0
"Renfroe, Hunter",592669,2022,30,474,121,68,23,1,29,121,39,0.255,0.492,0.315,0.807,0.24,0.438,0.303,0.199,90.5,17.7,7650000
"Rengifo, Luis",650859,2022,25,489,129,86,22,4,17,79,17,0.264,0.429,0.294,0.723,0.254,0.392,0.285,0.138,86.9,9.9,700000
"Reynolds, Bryan",668804,2023,28,574,151,91,31,5,24,138,53,0.263,0.46,0.33,0.79,0.28,0.49,0.346,0.211,90.9,10.9,7000000
